time_ms,emg_value
0,118.0
50,125.83
100,130.78
150,131.36
200,128.06
250,122.98
300,118.55
350,116.31
400,116.2
450,116.95
500,117.12
550,116.15
600,114.83
650,114.82
700,117.49
750,122.91
800,129.44
850,134.42
900,135.5
950,131.89
1000,124.89
1050,117.25
1100,111.89
1150,110.47
1200,112.72
1250,116.89
1300,120.82
1350,123.27
1400,124.51
1450,126.01
1500,129.45
1550,135.65
1600,144.22
1650,154.07
1700,164.61
1750,176.79
1800,193.36
1850,218.12
1900,254.35
1950,303.31
2000,363.5
2050,431.02
2100,500.85
2150,568.29
2200,629.86
2250,933.3
2300,976.89
2350,1008.74
2400,1026.55
2450,1028.27
2500,1013.24
2550,983.13
2600,942.02
2650,645.46
2700,598.77
2750,555.48
2800,516.61
2850,481.1
2900,447.14
2950,413.61
3000,380.88
3050,350.53
3100,324.35
3150,303.11
3200,286.07
3250,271.29
3300,256.74
3350,241.43
3400,225.86
3450,211.61
3500,200.16
3550,191.83
3600,185.35
3650,178.44
3700,169.08
3750,156.72
3800,142.75
3850,129.94
3900,121.05
3950,117.5
4000,118.67
4050,122.36
4100,125.94
4150,127.7
4200,127.52
4250,126.57
4300,126.31
4350,127.35
4400,128.99
4450,129.7
4500,128.2
4550,124.61
4600,120.83
4650,119.96
4700,124.99
4750,137.57
4800,157.44
4850,182.94
4900,212.26
4950,244.67
5000,281.08
5050,323.5
5100,373.68
5150,431.74
5200,495.44
5250,560.6
5300,622.3
5350,926.28
5400,969.88
5450,1001.89
5500,1021.89
5550,1029.31
5600,1023.17
5650,1002.54
5700,967.65
5750,670.76
5800,616.36
5850,560.24
5900,507.87
5950,462.84
6000,426.08
6050,396.26
6100,371.01
6150,348.39
6200,327.66
6250,309.17
6300,293.43
6350,280.14
6400,267.79
6450,254.14
6500,237.41
6550,217.38
6600,195.79
6650,175.7
6700,160.06
6750,150.41
6800,146.09
6850,144.8
6900,143.74
6950,141.07
7000,136.59
7050,131.51
7100,127.43
7150,125.16
7200,124.18
7250,123.0
7300,120.21
7350,115.57
7400,110.38
7450,106.96
7500,107.4
7550,112.28
7600,120.27
7650,128.6
7700,134.52
7750,136.66
7800,135.77
7850,134.39
7900,135.72
7950,142.22
8000,154.96
8050,173.81
8100,198.35
8150,228.85
8200,266.63
8250,313.45
8300,370.24
8350,435.84
8400,506.59
8450,576.92
8500,640.88
8550,943.8
8600,983.19
8650,1008.75
8700,1021.4
8750,1022.13
8800,1011.39
8850,989.21
8900,956.14
8950,664.05
9000,616.43
9050,567.67
9100,521.75
9150,480.97
9200,445.42
9250,413.53
9300,383.32
9350,353.79
9400,325.54
9450,300.41
9500,280.24
9550,265.62
9600,255.29
9650,246.59
9700,236.65
9750,223.81
9800,208.25
9850,191.72
9900,176.43
9950,163.8
10000,153.78
10050,145.18
10100,136.62
10150,127.71
10200,119.42
10250,113.69
10300,112.19
10350,115.22
10400,121.16
10450,127.1
10500,130.14
10550,128.79
10600,123.66
10650,117.04
10700,111.72
10750,109.61
10800,110.96
10850,114.66
10900,119.28
10950,124.25
11000,130.53
11050,140.27
11100,155.75
11150,178.3
11200,207.73
11250,242.7
11300,281.81
11350,324.6
11400,371.92
11450,425.25
11500,485.33
11550,550.82
11600,617.78
11650,930.31
11700,982.21
11750,1018.68
11800,1037.55
11850,1039.24
11900,1025.92
11950,1000.22
12000,964.4
12050,670.33
12100,620.09
12150,566.66
12200,514.07
12250,466.66
12300,427.76
12350,398.51
12400,377.39
12450,360.95
12500,345.3
12550,327.73
12600,307.59
12650,286.1
12700,265.25
12750,246.52
12800,230.04
12850,214.83
12900,199.68
12950,184.25
13000,169.51
13050,157.36
13100,149.47
13150,146.15
13200,145.9
13250,145.94
13300,143.54
13350,137.37
13400,128.17
13450,118.33
13500,110.66
13550,106.94
13600,107.14
13650,109.67
13700,112.38
13750,113.89
13800,114.19
13850,114.44
13900,115.96
13950,119.19
14000,123.13
14050,125.87
14100,125.73
14150,122.47
14200,117.86
14250,115.15
14300,117.81
14350,128.1
14400,146.41
14450,171.5
14500,201.7
14550,236.1
14600,275.17
14650,320.44
14700,373.23
14750,433.31
14800,498.29
14850,563.88
14900,625.16
14950,928.0
15000,969.96
15050,1000.28
15100,1019.01
15150,1026.09
15200,1020.82
15250,1002.27
15300,970.32
15350,676.65
15400,625.1
15450,570.91
15500,519.29
15550,473.86
15600,435.8
15650,404.17
15700,377.0
15750,352.66
15800,330.71
15850,311.71
15900,296.33
15950,284.3
16000,273.93
16050,262.64
16100,248.08
16149,229.47
16200,208.1
16250,186.86
16300,168.93
16350,156.29
16400,148.96
16450,145.17
16500,142.52
16550,139.28
16600,135.14
16650,131.08
16700,128.41
16750,127.61
16800,127.86
16850,127.33
16900,124.33
16950,118.42
17000,110.93
17050,104.46
17100,101.61
17150,103.58
17200,109.56
17250,117.03
17300,123.11
17350,125.94
17400,125.55
17450,123.68
17500,122.77
17550,124.75
17600,130.3
17650,139.11
17700,150.81
17750,166.01
17800,186.77
17850,216.03
17900,256.32
17950,308.33
18000,370.23
18050,437.96
18100,506.51
18150,571.4
18200,629.59
18250,929.54
18300,970.43
18350,1001.18
18400,1020.0
18450,1024.83
18500,1014.43
18550,989.46
18600,952.87
18650,659.28
18700,613.56
18750,569.28
18800,527.9
18850,489.01
18900,451.49
18950,414.82
19000,379.85
19050,348.57
19100,323.01
19150,304.01
